Entrant,Constructor,Chassis,Power unit,No.,Race drivers,Rounds
Caterham F1 Team,Caterham-Renault,CT05[4],"Renault Energy
F1-2014[5][6]",9,Marcus Ericsson[7],1–16
Caterham F1 Team,Caterham-Renault,CT05[4],"Renault Energy
F1-2014[5][6]",46, Will Stevens[8],19
Caterham F1 Team,Caterham-Renault,CT05[4],"Renault Energy
F1-2014[5][6]",10,"
 Kamui Kobayashi[7][9]","
1–11, 13–16, 19"
Caterham F1 Team,Caterham-Renault,CT05[4],"Renault Energy
F1-2014[5][6]",45, André Lotterer[10][11],12
Scuderia Ferrari,Ferrari,F14 T[12],Ferrari 059/3[13],7,Kimi Räikkönen[14],All
Scuderia Ferrari,Ferrari,F14 T[12],Ferrari 059/3[13],14, Fernando Alonso[15],All
Sahara Force India F1 Team,Force India-Mercedes,VJM07[16],Mercedes PU106A Hybrid[17][18],11,Sergio Pérez[19],All
Sahara Force India F1 Team,Force India-Mercedes,VJM07[16],Mercedes PU106A Hybrid[17][18],27,Nico Hülkenberg[20],All
Lotus F1 Team,Lotus-Renault,E22[21],"Renault Energy
F1-2014[6][22]",13, Pastor Maldonado[23],All
Lotus F1 Team,Lotus-Renault,E22[21],"Renault Energy
F1-2014[6][22]",8,Romain Grosjean[23],All
Marussia F1 Team,Marussia-Ferrari,MR03[24],Ferrari 059/3[13][25],42, Alexander Rossi[29],16[b]
Marussia F1 Team,Marussia-Ferrari,MR03[24],Ferrari 059/3[13][25],4,Max Chilton[26],1–16
Marussia F1 Team,Marussia-Ferrari,MR03[24],Ferrari 059/3[13][25],42, Alexander Rossi[27],12[a]
Marussia F1 Team,Marussia-Ferrari,MR03[24],Ferrari 059/3[13][25],17, Jules Bianchi[28],"
1–15"
McLaren Mercedes[30],McLaren-Mercedes,MP4-29[31],Mercedes PU106A Hybrid[18][32],20,Kevin Magnussen[33]],All
McLaren Mercedes[30],McLaren-Mercedes,MP4-29[31],Mercedes PU106A Hybrid[18][32],22, Jenson Button[34],All
Mercedes AMG Petronas F1 Team,Mercedes,"F1 W05
Hybrid[35]",Mercedes PU106A Hybrid[18],6,Nico Rosberg[36],All
Mercedes AMG Petronas F1 Team,Mercedes,"F1 W05
Hybrid[35]",Mercedes PU106A Hybrid[18],44, Lewis Hamilton[37],All
Infiniti Red Bull Racing,Red Bull-Renault,RB10[38],"Renault Energy
F1-2014[6][39]",1,Sebastian Vettel[40],All
Infiniti Red Bull Racing,Red Bull-Renault,RB10[38],"Renault Energy
F1-2014[6][39]",3, Daniel Ricciardo[41],All
Sauber F1 Team,Sauber-Ferrari,C33[42],Ferrari 059/3[13][43],21,Esteban Gutiérrez[44],All
Sauber F1 Team,Sauber-Ferrari,C33[42],Ferrari 059/3[13][43],99,Adrian Sutil[45],All
Scuderia Toro Rosso,Toro Rosso-Renault,STR9[46],"Renault Energy
F1-2014[6][39]",25,Jean-Éric Vergne[47],All
Scuderia Toro Rosso,Toro Rosso-Renault,STR9[46],"Renault Energy
F1-2014[6][39]",26, Daniil Kvyat[47],All
Williams Martini Racing[48],Williams-Mercedes,FW36[49],Mercedes PU106A Hybrid[18][50],19,Felipe Massa[51],All
Williams Martini Racing[48],Williams-Mercedes,FW36[49],Mercedes PU106A Hybrid[18][50],77, Valtteri Bottas[51],All
