Formula One circuits,,,,,,,,
Circuit,Type,Direction,Location,Country,Last length used,Grands Prix,Season(s),Grands Prix held
Adelaide Street Circuit,Street circuit,Clockwise,Adelaide,AustraliaAustralia,3.780 km (2.349 mi),Australian Grand Prix,1985–1995,11
Ain-Diab Circuit,Road circuit,Clockwise,Casablanca,MoroccoMorocco,7.618 km (4.734 mi),Moroccan Grand Prix,1958,1
Aintree Motor Racing Circuit,Road circuit,Clockwise,Aintree,United KingdomUnited Kingdom,4.828 km (3.000 mi),British Grand Prix,"1955, 1957, 1959, 1961–1962",5
Albert Park Circuit ✔,Street circuit,Clockwise,Melbourne,AustraliaAustralia,5.278 km (3.280 mi),Australian Grand Prix,"1996–2019, 2022",25
Algarve International Circuit,Race circuit,Clockwise,Portimão,PortugalPortugal,4.653 km (2.891 mi),Portuguese Grand Prix,2020–2021,2
Autódromo do Estoril,Race circuit,Clockwise,Estoril,PortugalPortugal,4.360 km (2.709 mi),Portuguese Grand Prix,1984–1996,13
Autodromo Enzo e Dino Ferrari ✔,Race circuit,Anti-clockwise,Imola,ItalyItaly,4.909 km (3.050 mi),"Italian Grand Prix,","1980–2006, 2020–2022",30
,,,,,,"San Marino Grand Prix,",,
,,,,,,Emilia Romagna Grand Prix,,
Autódromo Hermanos Rodríguez ✔,Race circuit,Clockwise,Mexico City,MexicoMexico,4.304 km (2.674 mi),"Mexican Grand Prix,","1963–1970, 1986–1992, 2015–2019, 2021–2022",22
,,,,,,Mexico City Grand Prix,,
Autódromo Internacional do Rio de Janeiro,Race circuit,Anti-clockwise,Rio de Janeiro,BrazilBrazil,5.031 km (3.126 mi),Brazilian Grand Prix,"1978, 1981–1989",10
Autodromo Internazionale del Mugello,Race circuit,Clockwise,Scarperia e San Piero,ItalyItaly,5.245 km (3.259 mi),Tuscan Grand Prix,2020,1
Autodromo José Carlos Pace ✔,Race circuit,Anti-clockwise,São Paulo,BrazilBrazil,4.309 km (2.677 mi),"Brazilian Grand Prix,","1973–1977, 1979–1980, 1990–2019, 2021–2022",39
,,,,,,São Paulo Grand Prix,,
Autódromo Juan y Oscar Gálvez,Race circuit,Clockwise,Buenos Aires,ArgentinaArgentina,4.259 km (2.646 mi),Argentine Grand Prix,"1953–1958, 1960, 1972–1975, 1977–1981, 1995–1998",20
Autodromo Nazionale di Monza ✔,Race circuit,Clockwise,Monza,ItalyItaly,5.793 km (3.600 mi),Italian Grand Prix,"1950–1979, 1981–2022",72
AVUS,Road circuit,Anti-clockwise,Berlin,GermanyGermany,8.300 km (5.157 mi),German Grand Prix,1959,1
Bahrain International Circuit ✔,Race circuit,Clockwise,Sakhir,BahrainBahrain,5.412 km (3.363 mi),"Bahrain Grand Prix,","2004–2010, 2012–2022[a]",19
,,,,,,Sakhir Grand Prix,,
Baku City Circuit ✔,Street circuit,Anti-clockwise,Baku,AzerbaijanAzerbaijan,6.003 km (3.730 mi),"European Grand Prix,","2016–2019, 2021–2022",6
,,,,,,Azerbaijan Grand Prix,,
Brands Hatch Circuit,Race circuit,Clockwise,West Kingsdown,United KingdomUnited Kingdom,3.703 km (2.301 mi),"British Grand Prix,","1964, 1966, 1968, 1970, 1972, 1974, 1976, 1978, 1980, 1982–1986",14
,,,,,,European Grand Prix,,
Buddh International Circuit,Race circuit,Clockwise,Greater Noida,IndiaIndia,5.141 km (3.194 mi),Indian Grand Prix,2011–2013,3
Bugatti Au Mans,Race circuit,Clockwise,Le Mans,FranceFrance,4.430 km (2.753 mi),French Grand Prix,1967,1
Caesars Palace Grand Prix Circuit,Street circuit,Anti-clockwise,Paradise,United StatesUnited States,3.650 km (2.268 mi),Caesars Palace Grand Prix,1981–1982,2
Charade Circuit,Road circuit,Clockwise,Saint-Genès-Champanelle,FranceFrance,8.055 km (5.005 mi),French Grand Prix,"1965, 1969–1970, 1972",4
Circuit Bremgarten,Road circuit,Clockwise,Bern,SwitzerlandSwitzerland,7.208 km (4.479 mi),Swiss Grand Prix,1950–1954,5
Circuit de Barcelona-Catalunya ✔,Race circuit,Clockwise,Montmeló,SpainSpain,4.675 km (2.905 mi),Spanish Grand Prix,1991–2022,32
Circuit de Monaco ✔,Street circuit,Clockwise,Monte Carlo,MonacoMonaco,3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2019, 2021–2022",68
Circuit de Nevers Magny-Cours,Race circuit,Clockwise,Magny-Cours,FranceFrance,4.411 km (2.741 mi),French Grand Prix,1991–2008,18
Circuit de Pedralbes,Street circuit,Clockwise,Barcelona,SpainSpain,6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2
Circuit de Reims-Gueux,Road circuit,Clockwise,Gueux,FranceFrance,8.302 km (5.159 mi),French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11
Circuit de Spa-Francorchamps ✔,Race circuit,Clockwise,Stavelot,BelgiumBelgium,7.004 km (4.352 mi),Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2022",55
Circuit Dijon-Prenois,Race circuit,Clockwise,Prenois,FranceFrance,3.886 km (2.415 mi),"French Grand Prix,","1974, 1977, 1979, 1981–1982, 1984",6
,,,,,,Swiss Grand Prix,,
Circuit Gilles-Villeneuve ✔,Street circuit,Clockwise,Montreal,CanadaCanada,4.361 km (2.710 mi),Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019, 2022",41
Circuit Mont-Tremblant,Race circuit,Clockwise,Mont-Tremblant,CanadaCanada,4.265 km (2.650 mi),Canadian Grand Prix,"1968, 1970",2
Circuit of the Americas ✔,Race circuit,Anti-clockwise,Austin,United StatesUnited States,5.513 km (3.426 mi),United States Grand Prix,"2012–2019, 2021–2022",10
Circuit Paul Ricard,Race circuit,Clockwise,Le Castellet,FranceFrance,5.842 km (3.630 mi),French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021–2022",18
Circuit Zandvoort ✔,Race circuit,Clockwise,Zandvoort,NetherlandsNetherlands,4.259 km (2.646 mi),Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021–2022",32
Circuit Zolder,Race circuit,Clockwise,Heusden-Zolder,BelgiumBelgium,4.262 km (2.648 mi),Belgian Grand Prix,"1973, 1975–1982, 1984",10
Circuito da Boavista,Street circuit,Anti-clockwise,Porto,PortugalPortugal,7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2
Circuito de Monsanto,Street circuit,Clockwise,Lisbon,PortugalPortugal,5.440 km (3.380 mi),Portuguese Grand Prix,1959,1
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,SpainSpain,4.428 km (2.751 mi),"Spanish Grand Prix,","1986–1990, 1994, 1997",7
,,,,,,European Grand Prix,,
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,SpainSpain,3.404 km (2.115 mi),Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9
Complexe Européen de Nivelles-Baulers,Race circuit,Clockwise,Nivelles,BelgiumBelgium,3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2
Dallas Fair Park,Street circuit,Anti-clockwise,Dallas,United StatesUnited States,3.901 km (2.424 mi),Dallas Grand Prix,1984,1
Detroit Street Circuit,Street circuit,Anti-clockwise,Detroit,United StatesUnited States,4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7
Donington Park,Race circuit,Clockwise,Castle Donington,United KingdomUnited Kingdom,4.020 km (2.498 mi),European Grand Prix,1993,1
Fuji Speedway,Race circuit,Clockwise,Oyama,JapanJapan,4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4
