Circuit,Country,Total,First,Last
Indianapolis Motor Speedway,United States,7,1953,1959
Nürburgring,Germany,5,1954,1969
Silverstone Circuit,United Kingdom,4,1960,2014
Autodromo di Modena,Italy,3,1953,1961
Brands Hatch,United Kingdom,3,1961,1977
Autodromo Nazionale di Monza,Italy,3,1961,1978
Circuit Park Zandvoort,Netherlands,3,1970,2017
Circuit de Spa-Francorchamps,Belgium,2,1960,1960
Watkins Glen International,United States,2,1973,1974
Kyalami Racing Circuit,South Africa,2,1974,1977
Autodromo Enzo e Dino Ferrari,Italy,2,1994,1994
MIRA,United Kingdom,1,1952,1952
Circuit de Pau-Ville,France,1,1955,1955
Circuit de Reims-Gueux,France,1,1958,1958
Circuit d'Ain-Diab,Morocco,1,1958,1958
Autódromo Magdalena Mixiuhca,Mexico,1,1962,1962
Westmead Circuit,South Africa,1,1962,1962
Circuit de Monaco,Monaco,1,1967,1967
Circuit de Rouen-les-Essarts,France,1,1968,1968
Österreichring,Austria,1,1975,1975
Hockenheimring,Germany,1,1980,1980
Circuit Zolder,Belgium,1,1982,1982
Circuit Gilles Villeneuve,Canada,1,1982,1982
Circuit Paul Ricard,France,1,1986,1986
Goodwood Hillclimb,United Kingdom,1,2000,2000
Autodrom Most,Czech Republic,1,2002,2002
Suzuka International Racing Course,Japan,1,2014,2014
