resultId,raceId,driverId,statusId,status,year
20117,836,704,3,Accident,1950
20113,836,789,3,Accident,1950
20066,834,792,3,Accident,1950
20063,834,762,3,Accident,1950
20062,834,787,3,Accident,1950
20061,834,427,3,Accident,1950
20060,834,640,3,Accident,1950
20059,834,626,3,Accident,1950
20058,834,627,3,Accident,1950
20057,834,786,3,Accident,1950
20056,834,642,3,Accident,1950
20055,834,498,3,Accident,1950
20064,834,501,4,Collision,1950
19929,828,660,3,Accident,1951
19869,825,633,3,Accident,1951
19866,825,765,3,Accident,1951
19865,825,687,3,Accident,1951
19885,826,768,3,Accident,1951
20021,832,704,3,Accident,1951
20017,832,660,3,Accident,1951
19976,830,756,3,Accident,1951
19972,830,704,3,Accident,1951
19711,819,554,3,Accident,1952
19710,819,641,3,Accident,1952
19659,817,627,3,Accident,1952
19790,822,427,3,Accident,1952
19780,822,626,3,Accident,1952
19626,816,647,3,Accident,1953
19628,816,670,3,Accident,1953
19458,809,528,3,Accident,1953
19440,809,529,3,Accident,1953
19442,809,699,3,Accident,1953
19453,809,559,3,Accident,1953
19459,809,520,3,Accident,1953
19464,809,612,3,Accident,1953
20198,809,521,3,Accident,1953
20199,809,520,3,Accident,1953
19428,808,642,3,Accident,1953
19495,811,660,3,Accident,1953
20210,811,579,3,Accident,1953
19386,806,648,3,Accident,1954
19415,807,581,3,Accident,1954
19258,800,556,3,Accident,1954
19259,800,509,3,Accident,1954
19264,800,519,3,Accident,1954
20235,800,559,3,Accident,1954
19353,804,670,3,Accident,1954
19372,805,626,3,Accident,1954
19320,803,669,3,Accident,1954
19322,803,685,3,Accident,1954
19325,803,645,3,Accident,1954
20239,803,541,3,Accident,1954
19229,799,627,3,Accident,1954
19073,792,554,3,Accident,1955
19068,792,608,3,Accident,1955
19071,792,647,3,Accident,1955
19074,792,648,3,Accident,1955
19076,792,649,3,Accident,1955
19077,792,496,3,Accident,1955
20257,792,633,3,Accident,1955
19088,793,647,3,Accident,1955
19116,794,655,3,Accident,1955
19127,794,558,3,Accident,1955
19128,794,449,3,Accident,1955
19129,794,533,3,Accident,1955
19125,794,657,3,Accident,1955
19000,789,479,3,Accident,1956
18961,787,580,3,Accident,1956
18981,788,635,3,Accident,1956
19018,790,606,3,Accident,1956
19021,790,577,3,Accident,1956
18904,785,626,3,Accident,1956
18909,785,577,3,Accident,1956
18908,785,501,3,Accident,1956
18890,784,581,3,Accident,1956
18891,784,586,3,Accident,1956
18942,786,561,3,Accident,1956
18946,786,555,3,Accident,1956
18935,786,529,3,Accident,1956
18937,786,556,3,Accident,1956
18941,786,538,3,Accident,1956
18824,780,547,3,Accident,1957
18861,782,456,3,Accident,1957
18863,782,547,3,Accident,1957
18749,777,547,3,Accident,1957
18750,777,581,3,Accident,1957
18751,777,475,3,Accident,1957
18752,777,578,3,Accident,1957
18803,779,356,3,Accident,1957
18805,779,541,3,Accident,1957
18778,778,538,3,Accident,1957
18781,778,565,3,Accident,1957
18784,778,558,3,Accident,1957
18785,778,556,3,Accident,1957
18789,778,532,3,Accident,1957
18790,778,616,3,Accident,1957
18648,772,581,3,Accident,1958
18693,774,583,3,Accident,1958
18695,774,476,3,Accident,1958
18659,772,356,4,Collision,1958
18696,774,501,3,Accident,1958
18714,775,590,3,Accident,1958
18715,775,604,3,Accident,1958
18716,775,605,3,Accident,1958
18718,775,482,3,Accident,1958
18720,775,455,3,Accident,1958
18660,772,347,3,Accident,1958
18571,768,597,3,Accident,1958
18574,768,536,3,Accident,1958
18573,768,598,3,Accident,1958
18572,768,510,3,Accident,1958
18570,768,596,3,Accident,1958
18569,768,537,3,Accident,1958
18568,768,514,3,Accident,1958
18566,768,563,3,Accident,1958
18501,766,347,3,Accident,1958
18575,768,599,3,Accident,1958
18613,770,577,3,Accident,1958
18610,770,580,3,Accident,1958
18589,769,577,3,Accident,1958
18482,764,575,3,Accident,1959
18344,757,536,3,Accident,1959
18343,757,517,3,Accident,1959
18342,757,565,3,Accident,1959
18341,757,564,3,Accident,1959
18335,757,561,3,Accident,1959
18331,757,559,3,Accident,1959
18302,756,476,4,Collision,1959
18303,756,477,4,Collision,1959
18304,756,506,4,Collision,1959
18297,756,501,3,Accident,1959
18340,757,563,3,Accident,1959
18442,762,289,3,Accident,1959
18441,762,403,3,Accident,1959
18397,760,567,3,Accident,1959
